?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/gmo/GMO_001088>	"硫酸アルミニウムカリウム | Aluminum potassium sulfate"		"Aluminum potassium sulfate"
<http://purl.jp/bio/10/gmo/GMO_001089>	"Bacto &trade; Peptone | Bacto &trade; peptone"		
<http://purl.jp/bio/10/gmo/GMO_001090>	"乳酸ナトリウム | Sodium lactate"		
<http://purl.jp/bio/10/gmo/GMO_001091>	"Potassium iodide | ヨウ化カリウム"		
<http://purl.jp/bio/10/gmo/GMO_001092>	"Potato extract"		
<http://purl.jp/bio/10/gmo/GMO_001093>	"亜セレン酸ナトリウム | Sodium selenite"		
<http://purl.jp/bio/10/gmo/GMO_001094>	"Sodium glutamate | グルタミン酸ナトリウム"	"MSG | Monosodium glutamate"	
<http://purl.jp/bio/10/gmo/GMO_001095>	"Difco &trade; Marine broth 2216"		"Marine broth 2216 is used for cultivat- ing heterotrophic marine bacteria"
<http://purl.jp/bio/10/gmo/GMO_001096>	"Magnesium sulfate | 硫酸マグネシウム"	"Magnesium sulphate"	
<http://purl.jp/bio/10/gmo/GMO_001097>	"BBL &trade; Trypticase peptone"	"BBL &trade; Trypticase &trade; peptone"	
<http://purl.jp/bio/10/gmo/GMO_001098>	"チオ硫酸ナトリウム | Sodium thiosulfate"		
<http://purl.jp/bio/10/gmo/GMO_001099>	"塩化コリン | Choline chloride"		
<http://purl.jp/bio/10/gmo/GMO_001100>	"Ammonium nitrate | 硝酸アンモニウム"		"Ammonium nitrate"
<http://purl.jp/bio/10/gmo/GMO_001101>	"イノシトール | Inositol"		
<http://purl.jp/bio/10/gmo/GMO_001102>	"Ammonium nickel(II) sulfate hexahydrate | 硫酸ニッケル(II)アンモニウム六水和物"	"Diammonium nickel disulfate hexahydrate | Nickel ammonium sulfate hexahydrate"	
<http://purl.jp/bio/10/gmo/GMO_001103>	"硫酸銅(II) | Copper(II) sulfate"	"Copper sulfate | Cupric sulfate"	
<http://purl.jp/bio/10/gmo/GMO_001104>	"Bacto &trade; Casitone"	"Casitone"	"Pancreatic digests of casein"
<http://purl.jp/bio/10/gmo/GMO_001105>	"Neutralized sulfide solution"		
<http://purl.jp/bio/10/gmo/GMO_001106>	"Cobalamin solution | コバラミン溶液"	"Vitamin B12 solution"	
<http://purl.jp/bio/10/gmo/GMO_001107>	"Sodium fluoride | フッ化ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001108>	"Potassium bromide | 臭化カリウム"		
<http://purl.jp/bio/10/gmo/GMO_001109>	"クエン酸ナトリウム | Sodium citrate"	"Trisodium citrate"	
<http://purl.jp/bio/10/gmo/GMO_001110>	"Cobalt(II) nitrate hexahydrate | 硝酸コバルト(II)六水和物"	"Cobalt nitrate hexahydrate"	
<http://purl.jp/bio/10/gmo/GMO_001111>	"Disodium selenate | セレン酸ニナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001112>	"クエン酸 | Citric acid"		
<http://purl.jp/bio/10/gmo/GMO_001113>	"Casamino acid"		"An acid hydrolysates of casein"
<http://purl.jp/bio/10/gmo/GMO_001114>	"Ethanol | エタノール"	"エチルアルコール | Ethyl alcohol"	
<http://purl.jp/bio/10/gmo/GMO_001115>	"Disodium phosphate dodecahydrate | リン酸ナトリウム十二水和物"		
<http://purl.jp/bio/10/gmo/GMO_001116>	"Calcium nitrate tetrahydrate | 硝酸カルシウム四水和物"		
<http://purl.jp/bio/10/gmo/GMO_001117>	"Bacto &trade; Tryptic soy broth"		
<http://purl.jp/bio/10/gmo/GMO_001118>	"クエン酸酸化鉄 | Iron(III) citrate"	"Ferric citrate"	
<http://purl.jp/bio/10/gmo/GMO_001119>	"Sodium bicarbonate solution | 炭酸水素ナトリウム溶液"		
<http://purl.jp/bio/10/gmo/GMO_001120>	"Sodium formate | ギ酸ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001121>	"Se/W solution"		
<http://purl.jp/bio/10/gmo/GMO_001122>	"Iron(III) chloride | 塩化鉄(III)"	"塩化第二鉄 | Ferric chloride"	
<http://purl.jp/bio/10/gmo/GMO_001123>	"D-フルクトース | D-Fructose"		
<http://purl.jp/bio/10/gmo/GMO_001124>	"リン酸ナトリウム緩衝液 | Sodium phosphate buffer"		
