?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/mpo#MPO_04057>	"Lipid"		
<http://purl.jp/bio/10/mpo#MPO_04058>	"Quinone"		
<http://purl.jp/bio/10/mpo#MPO_04059>	"Benzoquinone"		
<http://purl.jp/bio/10/mpo#MPO_04060>	"Naphthoquinone"		
<http://purl.jp/bio/10/mpo#MPO_04061>	"MK-4"	"Menaquinone-4"	
<http://purl.jp/bio/10/mpo#MPO_04062>	"MK-5"	"Menaquinone-5"	
<http://purl.jp/bio/10/mpo#MPO_04063>	"MK-6"	"Menaquinone-6"	
<http://purl.jp/bio/10/mpo#MPO_04064>	"MK-7"	"Menaquinone-7"	
<http://purl.jp/bio/10/mpo#MPO_04065>	"MK-8"	"Menaquinone-8"	
<http://purl.jp/bio/10/mpo#MPO_04066>	"MK-9"	"Menaquinone-9"	
<http://purl.jp/bio/10/mpo#MPO_04067>	"MK-10"	"Menaquinone-10"	
<http://purl.jp/bio/10/mpo#MPO_04068>	"MK-11"	"Menaquinone-11"	
<http://purl.jp/bio/10/mpo#MPO_04069>	"MK-12"	"Menaquinone-12"	
<http://purl.jp/bio/10/mpo#MPO_04070>	"MK-13"	"Menaquinone-13"	
<http://purl.jp/bio/10/mpo#MPO_04071>	"MK-14"	"Menaquinone-14"	
<http://purl.jp/bio/10/mpo#MPO_04072>	"MK-n"	"Menaquinone-n"	
<http://purl.jp/bio/10/mpo#MPO_04073>	"MK"	"Menaquinone"	
<http://purl.jp/bio/10/mpo#MPO_04074>	"DMK"	"Demethylmenaquinone"	
<http://purl.jp/bio/10/mpo#MPO_04075>	"DMK-5"	"Demethylmenaquinone-5"	
<http://purl.jp/bio/10/mpo#MPO_04076>	"DMK-6"	"Demethylmenaquinone-6"	
<http://purl.jp/bio/10/mpo#MPO_04077>	"DMK-7"	"Demethylmenaquinone-7"	
<http://purl.jp/bio/10/mpo#MPO_04078>	"DMK-8"	"Demethylmenaquinone-8"	
<http://purl.jp/bio/10/mpo#MPO_04079>	"MTK"	"Methionaquinone-7"	
<http://purl.jp/bio/10/mpo#MPO_04080>	"MTK-7"	"Methionaquinone-7"	
<http://purl.jp/bio/10/mpo#MPO_04081>	"Q-3"	"Ubiquinone-3"	
<http://purl.jp/bio/10/mpo#MPO_04082>	"Q-4"	"Ubiquinone-4"	
<http://purl.jp/bio/10/mpo#MPO_04083>	"Q-5"	"Ubiquinone-5"	
<http://purl.jp/bio/10/mpo#MPO_04084>	"Q-6"	"Ubiquinone-6"	
<http://purl.jp/bio/10/mpo#MPO_04085>	"Q-7"	"Ubiquinone-7"	
<http://purl.jp/bio/10/mpo#MPO_04086>	"Q-8"	"Ubiquinone-8"	
<http://purl.jp/bio/10/mpo#MPO_04087>	"Q-9"	"Ubiquinone-9"	
<http://purl.jp/bio/10/mpo#MPO_04088>	"Q-10"	"Ubiquinone-10"	
<http://purl.jp/bio/10/mpo#MPO_04089>	"Q-11"	"Ubiquinone-11"	
<http://purl.jp/bio/10/mpo#MPO_04090>	"Q-12"	"Ubiquinone-12"	
<http://purl.jp/bio/10/mpo#MPO_04091>	"Q-13"	"Ubiquinone-13"	
<http://purl.jp/bio/10/mpo#MPO_04092>	"Q-14"	"Ubiquinone-14"	
<http://purl.jp/bio/10/mpo#MPO_04093>	"Q"	"Ubiquinone"	
<http://purl.jp/bio/10/mpo#MPO_04094>	"MQ"		
<http://purl.jp/bio/10/mpo#MPO_04095>	"MQ-8"	"18-methylene-ubiquinone-8"	
<http://purl.jp/bio/10/mpo#MPO_04096>	"MDMQ"		
<http://purl.jp/bio/10/mpo#MPO_04097>	"MDMQ-6"	"11-methylene-18-dimethyl-ubiquinone-6"	
<http://purl.jp/bio/10/mpo#MPO_04098>	"TPQ"	"Thermoplasma quinone"	
<http://purl.jp/bio/10/mpo#MPO_04099>	"TPQ-6"	"Thermoplasma quinone-6"	
<http://purl.jp/bio/10/mpo#MPO_04100>	"TPQ-7"	"Thermoplasma quinone-7"	
<http://purl.jp/bio/10/mpo#MPO_04101>	"MK-5(H2)"	"Menaquinone-5(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04102>	"MK-6(H2)"	"Menaquinone-6(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04103>	"MK-8(H2)"	"Menaquinone-8(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04104>	"MK-8(H4)"	"Menaquinone-8(H4)"	
