# KGX edge templates for MetaTraits composed traits
# Subject is left blank — fill with strain/genome CURIE per source database
# Generated: 2026-02-12
# Tool: metpo/scripts/curie_join_metatraits.py v0.2.0
# Pattern: <subject> --[predicate_id]--> <object_id>
#   e.g.: NCBITaxon:562 --[METPO:2000011 ferments]--> CHEBI:17234 (glucose)
# Use negative_predicate_id for negative assay results
#   e.g.: NCBITaxon:562 --[METPO:2000037 does not ferment]--> CHEBI:17057 (cellobiose)
#
metatraits_card_id	metatraits_trait	predicate_id	predicate_label	object_id	object_label	negative_predicate_id	negative_predicate_label	knowledge_level	agent_type	primary_knowledge_source
assimilation-r-lactate	assimilation: (R)-lactate	METPO:2000002	assimilates	CHEBI:16004	(R)-lactate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-r-malic-acid	assimilation: (R)-malic acid	METPO:2000002	assimilates	CHEBI:30796	(R)-malic acid	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-r-mandelate	assimilation: (R)-mandelate	METPO:2000002	assimilates	CHEBI:32382	(R)-mandelate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-s-lactate	assimilation: (S)-lactate	METPO:2000002	assimilates	CHEBI:16651	(S)-lactate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-s-malic-acid	assimilation: (S)-malic acid	METPO:2000002	assimilates	CHEBI:30797	(S)-malic acid	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-s-mandelic-acid	assimilation: (S)-mandelic acid	METPO:2000002	assimilates	CHEBI:32800	(S)-mandelic acid	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-1-sodium-lactate	assimilation: 1 % sodium lactate	METPO:2000002	assimilates		1 % sodium lactate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-1-o-methyl-alpha-galactopyranoside	assimilation: 1-o-methyl alpha-galactopyranoside	METPO:2000002	assimilates		1-o-methyl alpha-galactopyranoside	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-1-2-butandiol	assimilation: 1,2-butandiol	METPO:2000002	assimilates	CHEBI:52682	1,2-butandiol	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-1-2-propandiol	assimilation: 1,2-propandiol	METPO:2000002	assimilates	CHEBI:16997	1,2-propandiol	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-1-3-beta-d-glucan	assimilation: 1,3-beta-d-glucan	METPO:2000002	assimilates	CHEBI:37671	1,3-beta-d-glucan	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-aminobenzoate	assimilation: 2-aminobenzoate	METPO:2000002	assimilates	CHEBI:16567	2-aminobenzoate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-aminobutyrate	assimilation: 2-aminobutyrate	METPO:2000002	assimilates	CHEBI:28340	2-aminobutyrate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-aminopentanoic-acid	assimilation: 2-aminopentanoic acid	METPO:2000002	assimilates	CHEBI:19475	2-aminopentanoic acid	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-butanol	assimilation: 2-butanol	METPO:2000002	assimilates	CHEBI:35686	2-butanol	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-dehydro-d-gluconate	assimilation: 2-dehydro-D-gluconate	METPO:2000002	assimilates	CHEBI:16808	2-dehydro-D-gluconate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-deoxy-d-ribose	assimilation: 2-deoxy-d-ribose	METPO:2000002	assimilates	CHEBI:28816	2-deoxy-d-ribose	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-deoxyadenosine	assimilation: 2-deoxyadenosine	METPO:2000002	assimilates	CHEBI:17256	2-deoxyadenosine	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-hydroxybutyrate	assimilation: 2-hydroxybutyrate	METPO:2000002	assimilates	CHEBI:64552	2-hydroxybutyrate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-naphthyl-dihydrogen-phosphate	assimilation: 2-naphthyl dihydrogen phosphate	METPO:2000002	assimilates	CHEBI:91043	2-naphthyl dihydrogen phosphate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-oxobutanoate	assimilation: 2-oxobutanoate	METPO:2000002	assimilates	CHEBI:16763	2-oxobutanoate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-oxogluconate	assimilation: 2-oxogluconate	METPO:2000002	assimilates		2-oxogluconate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-oxoglutarate	assimilation: 2-oxoglutarate	METPO:2000002	assimilates	CHEBI:30916	2-oxoglutarate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-oxopentanoate	assimilation: 2-oxopentanoate	METPO:2000002	assimilates	CHEBI:28644	2-oxopentanoate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-2-dimethylsuccinic-acid	assimilation: 2,2-dimethylsuccinic acid	METPO:2000002	assimilates	CHEBI:86537	2,2-dimethylsuccinic acid	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-3-butanediol	assimilation: 2,3-butanediol	METPO:2000002	assimilates	CHEBI:62064	2,3-butanediol	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-2-3-butanone	assimilation: 2,3-butanone	METPO:2000002	assimilates		2,3-butanone	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-3-aminobenzoate	assimilation: 3-aminobenzoate	METPO:2000002	assimilates	CHEBI:30761	3-aminobenzoate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-3-aminobutyrate	assimilation: 3-aminobutyrate	METPO:2000002	assimilates	CHEBI:87997	3-aminobutyrate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-3-dehydro-d-gluconate	assimilation: 3-dehydro-D-gluconate	METPO:2000002	assimilates	CHEBI:85256	3-dehydro-D-gluconate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-3-hydroxy-2-butanone	assimilation: 3-hydroxy 2-butanone	METPO:2000002	assimilates		3-hydroxy 2-butanone	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-3-hydroxybenzoate	assimilation: 3-hydroxybenzoate	METPO:2000002	assimilates	CHEBI:16193	3-hydroxybenzoate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
