substrate_label	card_count	example_cards	metatraits_chebi_id	chebi_label_from_oak	label_match	kgm_chebi_id	kgm_chebi_label	kgm_label_match	kgm_matches_metatraits	audit_status
4-hydroxybenzaldehyde	1	carbon-source-4-hydroxybenzaldehyde	CHEBI:17597	4-hydroxybenzaldehyde	exact			not_found	n/a	verified
4-hydroxybenzoate	7	assimilation-4-hydroxybenzoate; builds-acid-from-4-hydroxybenzoate; carbon-source-4-hydroxybenzoate	CHEBI:17879	4-hydroxybenzoate	exact			not_found	n/a	verified
4-hydroxybutyrate	9	aerobic-catabolization-4-hydroxybutyrate; assimilation-4-hydroxybutyrate; builds-acid-from-4-hydroxybutyrate	CHEBI:16724	4-hydroxybutyrate	exact			not_found	n/a	verified
4-hydroxyphenylacetic acid	7	assimilation-4-hydroxyphenylacetic-acid; builds-acid-from-4-hydroxyphenylacetic-acid; carbon-source-4-hydroxyphenylacetic-acid	CHEBI:18101	4-hydroxyphenylacetic acid	exact			not_found	n/a	verified
4-methylumbelliferone beta-d-glucuronide	1	hydrolysis-4-methylumbelliferone-beta-d-glucuronide	CHEBI:1904	4-methylumbelliferone beta-D-glucuronide	exact			not_found	n/a	verified
4-nitrophenyl 6-O-phosphono-beta-D-galactoside	2	assimilation-4-nitrophenyl-6-o-phosphono-beta-d-galactoside; hydrolysis-4-nitrophenyl-6-o-phosphono-beta-d-galactoside	CHEBI:90128	4-nitrophenyl 6-O-phosphono-beta-D-galactoside	exact			not_found	n/a	verified
4-nitrophenyl alpha-D-galactoside	3	builds-acid-from-4-nitrophenyl-alpha-d-galactoside; degradation-4-nitrophenyl-alpha-d-galactoside; hydrolysis-4-nitrophenyl-alpha-d-galactoside	CHEBI:546840	4-nitrophenyl alpha-D-galactoside	exact			not_found	n/a	verified
4-nitrophenyl alpha-D-glucopyranoside	4	assimilation-4-nitrophenyl-alpha-d-glucopyranoside; builds-acid-from-4-nitrophenyl-alpha-d-glucopyranoside; degradation-4-nitrophenyl-alpha-d-glucopyranoside	CHEBI:91122	4-nitrophenyl alpha-D-glucoside	mismatch			not_found	n/a	mismatch
4-nitrophenyl alpha-L-arabinoside	1	assimilation-4-nitrophenyl-alpha-l-arabinoside	CHEBI:90133	4-nitrophenyl alpha-L-arabinoside	exact			not_found	n/a	verified
4-nitrophenyl alpha-L-fucoside	1	hydrolysis-4-nitrophenyl-alpha-l-fucoside	CHEBI:90253	4-nitrophenyl alpha-L-fucoside	exact			not_found	n/a	verified
4-nitrophenyl beta-D-galactopyranoside	7	assimilation-4-nitrophenyl-beta-d-galactopyranoside; builds-acid-from-4-nitrophenyl-beta-d-galactopyranoside; carbon-source-4-nitrophenyl-beta-d-galactopyranoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	mismatch			not_found	n/a	mismatch
4-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52)	1	enzyme-activity-4-nitrophenyl-beta-d-galactopyranoside-ec3-2-1-52			no_curie			not_found	n/a	no_curie
4-nitrophenyl beta-D-galactopyranoside hydrolysate	4	assimilation-4-nitrophenyl-beta-d-galactopyranoside-hydrolysate; builds-acid-from-4-nitrophenyl-beta-d-galactopyranoside-hydrolysate; hydrolysis-4-nitrophenyl-beta-d-galactopyranoside-hydrolysate			no_curie			not_found	n/a	no_curie
4-nitrophenyl beta-D-glucopyranoside	4	assimilation-4-nitrophenyl-beta-d-glucopyranoside; builds-acid-from-4-nitrophenyl-beta-d-glucopyranoside; degradation-4-nitrophenyl-beta-d-glucopyranoside	CHEBI:90259	4-nitrophenyl beta-D-glucoside	mismatch			not_found	n/a	mismatch
4-nitrophenyl beta-D-glucuronide	3	assimilation-4-nitrophenyl-beta-d-glucuronide; builds-acid-from-4-nitrophenyl-beta-d-glucuronide; hydrolysis-4-nitrophenyl-beta-d-glucuronide	CHEBI:90146	4-nitrophenyl beta-D-glucuronide	exact			not_found	n/a	verified
4-nitrophenyl beta-D-xylopyranoside	3	assimilation-4-nitrophenyl-beta-d-xylopyranoside; builds-acid-from-4-nitrophenyl-beta-d-xylopyranoside; hydrolysis-4-nitrophenyl-beta-d-xylopyranoside	CHEBI:90148	4-nitrophenyl beta-D-xyloside	mismatch			not_found	n/a	mismatch
4-nitrophenyl N-acetyl-beta-D-glucosaminide	2	assimilation-4-nitrophenyl-n-acetyl-beta-d-glucosaminide; hydrolysis-4-nitrophenyl-n-acetyl-beta-d-glucosaminide	CHEBI:90343	4-nitrophenyl N-acetyl-beta-D-glucosaminide	exact			not_found	n/a	verified
4-nitrophenyl phosphate	2	assimilation-4-nitrophenyl-phosphate; hydrolysis-4-nitrophenyl-phosphate	CHEBI:17440	4-nitrophenyl phosphate	exact			not_found	n/a	verified
4-nitrophenyl-alpha-D-maltopyranoside	2	builds-acid-from-4-nitrophenyl-alpha-d-maltopyranoside; hydrolysis-4-nitrophenyl-alpha-d-maltopyranoside			no_curie			not_found	n/a	no_curie
4-nitrophenyl-beta-D-galactopyranoside (EC3.2.1.52)	1	enzyme-activity-4-nitrophenyl-beta-d-galactopyranoside-ec3-2-1-52			no_curie			not_found	n/a	no_curie
4-nitrophenyl-beta-D-galactoside	2	assimilation-4-nitrophenyl-beta-d-galactoside; hydrolysis-4-nitrophenyl-beta-d-galactoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	exact			not_found	n/a	verified
4-oxopentanoate	4	assimilation-4-oxopentanoate; carbon-source-4-oxopentanoate; growth-4-oxopentanoate	CHEBI:39150	4-oxopentanoate	exact			not_found	n/a	verified
42 degrees Celsius	1	growth-42-degrees-celsius			no_curie			not_found	n/a	no_curie
4h-pyran-4-one	1	produces-4h-pyran-4-one	CHEBI:37966	4H-pyran-4-one	exact			not_found	n/a	verified
5,6-dihydro-5-azathymidine	1	produces-5-6-dihydro-5-azathymidine			no_curie			not_found	n/a	no_curie
5-aminovalerate	2	assimilation-5-aminovalerate; growth-5-aminovalerate	CHEBI:15887	5-aminopentanoic acid	mismatch			not_found	n/a	mismatch
5-aminovaleric acid	3	assimilation-5-aminovaleric-acid; carbon-source-5-aminovaleric-acid; growth-5-aminovaleric-acid	CHEBI:15887	5-aminopentanoic acid	mismatch			not_found	n/a	mismatch
5-azacytidine	1	produces-5-azacytidine	CHEBI:2038	5-azacytidine	exact			not_found	n/a	verified
5-bromo-3-indolyl nonanoate	1	builds-acid-from-5-bromo-3-indolyl-nonanoate			no_curie			not_found	n/a	no_curie
5-dehydro-D-gluconate	10	assimilation-5-dehydro-d-gluconate; builds-acid-from-5-dehydro-d-gluconate; builds-base-from-5-dehydro-d-gluconate	CHEBI:58143	5-dehydro-D-gluconate	exact			not_found	n/a	verified
5-oxoproline	5	assimilation-5-oxoproline; carbon-source-5-oxoproline; oxidation-5-oxoproline	CHEBI:57606	5-oxoprolinate	mismatch			not_found	n/a	mismatch
